,date,open,high,low,Close
13244,1621234200000.0,0.66766,0.6709,0.66511,0.66554
13245,1621234500000.0,0.66602,0.67223,0.66552,0.67036
13246,1621234800000.0,0.67024,0.67559,0.66836,0.66989
13247,1621235100000.0,0.66929,0.67644,0.66926,0.67487
13248,1621235400000.0,0.675,0.68077,0.67445,0.67707
13249,1621235700000.0,0.67706,0.67978,0.675,0.6789
13250,1621236000000.0,0.6789,0.67985,0.67566,0.67619
13251,1621236300000.0,0.67634,0.67847,0.67476,0.67576
13252,1621236600000.0,0.67584,0.67725,0.67204,0.67258
13253,1621236900000.0,0.67258,0.682,0.67206,0.68035
13254,1621237200000.0,0.68036,0.68974,0.67851,0.68791
13255,1621237500000.0,0.68791,0.68951,0.68381,0.68882
13256,1621237800000.0,0.68914,0.69259,0.68764,0.69064
13257,1621238100000.0,0.69073,0.69569,0.69018,0.69259
13258,1621238400000.0,0.693,0.69487,0.69022,0.69078
13259,1621238700000.0,0.69051,0.6925,0.68271,0.68376
13260,1621239000000.0,0.68385,0.68601,0.68035,0.68526
13261,1621239300000.0,0.68536,0.68536,0.67836,0.67926
13262,1621239600000.0,0.67954,0.68416,0.67868,0.68374
13263,1621239900000.0,0.68369,0.68623,0.68201,0.686
13264,1621240200000.0,0.68585,0.68964,0.68585,0.6896
13265,1621240500000.0,0.68936,0.693,0.688,0.69002
13266,1621240800000.0,0.69004,0.69333,0.68971,0.69067
13267,1621241100000.0,0.69072,0.69579,0.68919,0.6956
13268,1621241400000.0,0.69569,0.69917,0.69301,0.69423
13269,1621241700000.0,0.6939,0.69493,0.69123,0.6933
13270,1621242000000.0,0.69309,0.69738,0.687,0.68754
13271,1621242300000.0,0.68754,0.68961,0.68368,0.68378
13272,1621242600000.0,0.68378,0.6855,0.68112,0.68312
13273,1621242900000.0,0.68313,0.68347,0.67968,0.68329
13274,1621243200000.0,0.68339,0.68445,0.68145,0.68262
13275,1621243500000.0,0.68244,0.68358,0.67949,0.68252
13276,1621243800000.0,0.68258,0.684,0.67967,0.68168
13277,1621244100000.0,0.68174,0.68746,0.68053,0.68686
13278,1621244400000.0,0.68685,0.68746,0.68228,0.68321
13279,1621244700000.0,0.6832,0.68996,0.6825,0.68805
13280,1621245000000.0,0.68805,0.70096,0.68777,0.70021
13281,1621245300000.0,0.70023,0.70467,0.69548,0.7026
13282,1621245600000.0,0.70263,0.70893,0.70209,0.70474
13283,1621245900000.0,0.70473,0.70517,0.69838,0.69972
13284,1621246200000.0,0.69996,0.71,0.69936,0.70435
13285,1621246500000.0,0.70429,0.70587,0.69646,0.69734
13286,1621246800000.0,0.69695,0.70074,0.6947,0.69472
13287,1621247100000.0,0.695,0.7,0.69415,0.69639
13288,1621247400000.0,0.69608,0.70805,0.69568,0.70741
13289,1621247700000.0,0.70741,0.7093,0.70177,0.70177
13290,1621248000000.0,0.7017,0.70638,0.70065,0.70211
13291,1621248300000.0,0.70219,0.7055,0.69718,0.69755
