date,open,high,low,close
1620448200000.0,1.6313,1.6333,1.6248,1.6276
1620448500000.0,1.6274,1.6292,1.6231,1.6255
1620448800000.0,1.6254,1.6264,1.623,1.624
1620449100000.0,1.6242,1.6249,1.6183,1.6201
1620449400000.0,1.62,1.6219,1.6125,1.6131
1620449700000.0,1.6127,1.6165,1.6113,1.6145
1620450000000.0,1.6144,1.6144,1.6068,1.6096
1620450300000.0,1.6093,1.6095,1.6019,1.606
1620450600000.0,1.606,1.607,1.602,1.6068
1620450900000.0,1.6067,1.6068,1.5992,1.6044
1620451200000.0,1.6043,1.6137,1.6032,1.6102
1620451500000.0,1.6102,1.6139,1.6076,1.6131
1620451800000.0,1.6131,1.6137,1.6078,1.6122
1620452100000.0,1.6122,1.6176,1.6116,1.6141
1620452400000.0,1.6141,1.6198,1.6133,1.6143
1620452700000.0,1.6143,1.6251,1.6142,1.6212
1620453000000.0,1.6213,1.624,1.6181,1.6229
1620453300000.0,1.6228,1.6258,1.6202,1.6238
1620453600000.0,1.6239,1.6239,1.6142,1.615
1620453900000.0,1.615,1.615,1.6103,1.6118
1620454200000.0,1.6117,1.6124,1.6074,1.6096
1620454500000.0,1.61,1.6136,1.6056,1.6106
1620454800000.0,1.6106,1.6162,1.606,1.6156
1620455100000.0,1.6158,1.6179,1.6075,1.6083
1620455400000.0,1.6083,1.6085,1.6013,1.6052
1620455700000.0,1.6051,1.6106,1.6012,1.6104
1620456000000.0,1.6105,1.6133,1.6091,1.6117
1620456300000.0,1.6118,1.6118,1.6045,1.6047
1620456600000.0,1.6047,1.6074,1.603,1.6068
1620456900000.0,1.607,1.6072,1.599,1.5995
1620457200000.0,1.5994,1.6012,1.5894,1.5974
1620457500000.0,1.5975,1.6017,1.5908,1.596
1620457800000.0,1.596,1.6032,1.5937,1.6031
1620458100000.0,1.6032,1.608,1.6006,1.6054
1620458400000.0,1.6055,1.6086,1.6032,1.607
1620458700000.0,1.6071,1.6105,1.6026,1.6104
1620459000000.0,1.6104,1.6228,1.6085,1.6194
1620459300000.0,1.6194,1.6228,1.6165,1.6217
1620459600000.0,1.6218,1.6271,1.6194,1.6254
1620459900000.0,1.6255,1.6375,1.6251,1.6336
1620460200000.0,1.6332,1.6413,1.6265,1.6413
1620460500000.0,1.6413,1.6426,1.6319,1.6397
1620460800000.0,1.6395,1.6409,1.629,1.6339
1620461100000.0,1.6342,1.635,1.628,1.6287
1620461400000.0,1.6287,1.6356,1.6264,1.6308
1620461700000.0,1.6307,1.6352,1.6253,1.634
1620462000000.0,1.634,1.64,1.6335,1.6361
1620462300000.0,1.6361,1.6468,1.6333,1.6448
1620462600000.0,1.6447,1.65,1.6415,1.6421
1620462900000.0,1.6419,1.6474,1.6377,1.6433
1620463200000.0,1.6434,1.6445,1.6352,1.6365
1620463500000.0,1.6366,1.6393,1.6311,1.6358
1620463800000.0,1.6358,1.64,1.6342,1.6387
1620464100000.0,1.6386,1.6393,1.633,1.6331
1620464400000.0,1.6331,1.6367,1.6267,1.6273
1620464700000.0,1.6274,1.6299,1.6226,1.6266
1620465000000.0,1.6266,1.6269,1.6217,1.6235
1620465300000.0,1.6234,1.6266,1.6187,1.6213
1620465600000.0,1.6213,1.6237,1.6194,1.6223
